VIN#,Debtor Id,Fname,Middle,Lname,Company,Date of birth?,Add1,Add2,City,Prov,Country,Postal,Corporation id
AMS24012191653916,968436,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191653916,968437,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191602929,968439,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191630702,968440,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191639908,968441,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191639908,968442,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191622093,968443,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS24012191622093,968444,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS24012191631408,968446,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191650565,968447,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24012191603247,968451,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24012191603247,968452,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS24012191641318,968453,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191617378,968455,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191617378,968456,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191612669,968457,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191612669,968458,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191626748,968459,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191659790,968460,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191609135,968461,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191609135,968462,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191623156,968463,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191623156,968464,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191651160,968467,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS24012191651160,968468,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS24012191632537,968469,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24012191632537,968470,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS24012191604450,968473,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191646477,968474,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191646477,968475,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191613823,968478,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191613823,968479,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191655807,968480,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191641817,968481,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191641817,968482,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191619298,968483,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24012191600510,968486,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191642632,968489,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191642632,968490,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191633338,968491,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191651961,968494,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191651961,968495,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191609829,968497,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191628655,968498,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191637970,968499,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191637970,968500,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191601278,968501,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24012191601278,968502,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS24012191620114,968505,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS24012191620114,968506,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS24012191615498,968507,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191615498,968508,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191610679,968509,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191610679,968510,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24012191710318,968585,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24012191700323,968586,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006120047349,980636,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006120144958,980637,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006120234027,980638,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006120232784,980639,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180926141,980651,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180937401,980652,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180932697,980653,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180947724,980654,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180942804,980655,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180939048,980656,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180931944,980657,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180931073,980658,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180931372,980659,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180917563,980660,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180939765,980661,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180924772,980662,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180926006,980663,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180902179,980664,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180933425,980665,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180913739,980666,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180919923,980667,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180924017,980668,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180919262,980669,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180914486,980670,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180907525,980671,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180929726,980672,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180902070,980673,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180918133,980674,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180913327,980675,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180908592,980676,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006180923677,980677,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181056606,980678,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181012572,980679,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181007751,980680,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181002916,980681,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181017924,980682,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181050190,980683,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181056873,980684,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181006383,980685,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181001652,980686,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181011784,980687,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181044710,980688,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181056890,980689,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181050992,980690,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181001592,980691,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181006905,980692,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181053024,980693,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181046603,980694,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181057805,980695,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181002536,980696,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181007757,980697,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181030081,980713,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181046326,980714,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181041582,980715,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181051769,980716,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181036815,980717,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181040420,980718,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181024529,980719,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181045637,980720,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181035669,980721,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181030916,980722,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181142125,980723,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181136550,980724,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181131804,980725,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181119879,980726,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181125948,980727,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181115113,980728,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181156249,980729,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181131400,980730,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181151427,980732,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181121718,980734,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181141719,980735,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181106003,980737,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181106003,980738,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181146053,980741,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS25006181146053,980742,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS25006181101058,980743,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181101058,980744,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181141207,980745,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181141207,980746,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181136414,980747,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181136414,980748,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181126744,980749,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181126744,980750,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181155710,980753,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181116974,980757,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181116974,980758,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181150884,980759,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181130057,980760,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181125188,980761,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181115317,980763,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181159342,980766,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181159342,980767,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181149474,980770,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181149474,980771,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181105566,980773,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181139756,980776,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181139756,980777,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181134924,980778,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181134924,980779,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181114032,980780,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181114032,980781,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181109099,980782,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181109099,980783,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181138498,980785,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181148335,980787,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181128803,980789,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181158762,980790,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181118875,980791,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS25006181118875,980792,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS25006181123886,980793,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181155126,980794,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS25006181155126,980795,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS25006181134695,980796,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181134695,980797,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181108558,980800,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181108558,980801,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181123719,980804,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181123719,980805,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181103617,980806,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181144837,980807,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181144837,980808,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181113882,980811,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181113882,980812,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181149932,980813,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181149932,980814,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181255068,981035,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181332017,981036,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181311643,981038,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181322305,981039,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181346707,981041,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181346707,981042,Bat,,Man,,01-01-2010,PT 30 Highway 6,,Lundar,MB,CANADA,R0C 1Y0,1
AMS25006181346707,981044,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181356729,981049,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181356729,981050,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181301902,981054,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181341761,981055,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181341761,981056,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181336948,981057,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181321008,981058,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181321008,981059,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181316170,981060,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181316170,981061,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181306519,981062,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181306519,981063,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181325863,981066,QUEENIE,,QUENSTON,,01-13-1995,1561 THE QUEENSWAY,,TORONTO,ON,CANADA,M2R2X8,1
AMS25006181325863,981067,SUSIE,,SASKETON,,01-11-1995,25 CIRCLE DRIVE,,SASKATOON,SK,CANADA,S7L1T9,1
AMS25006181347896,981088,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181353909,981089,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181334051,981091,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181334051,981092,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181329083,981093,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181324104,981094,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181339202,981095,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181339202,981096,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181314307,981099,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181303897,981102,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181359576,981105,Bat,,Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS25006181359576,981106,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS25006181349653,981107,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181349653,981108,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS25006181314320,981111,Bat,,Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS25006181314320,981112,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
